店名,評分,日間價位,夜間價位,Blog
鳥助,3.08,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1305/A130501/13194146/
BAGUS GOLKA,3.03,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1301/A130101/13050861/
北海道キッチン Bakurico,3.09,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1316/A131603/13194548/
め乃惣,3.72,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130905/13011420/
中華料理 信悦,3.01,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1326/A132601/13244590/
ツバメキッチン,3.01,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1326/A132602/13245117/
UGO by mosto,3.12,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1317/A131703/13072777/
BEE HOUSE 渋谷本店,3.25,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130301/13045373/
鉄板焼き ステーキ SUN SHOW,3.06,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1308/A130801/13216216/
お好み焼き もんじゃ 上野 ぐりぐり,3.23,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1311/A131101/13029416/
すし割烹 浜勢本店,3.14,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1304/A130401/13030410/
Cheese Tavern CASCINA,3.56,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13212074/
大衆酒場 スシスミビ,3.25,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1317/A131706/13214566/
KUMAMOTODining×あざみ 中目黒店,3.08,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1317/A131701/13198183/
蟹料理 本湖月 別邸個室,3.04,-,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1301/A130103/13242685/
GLASS DANCE 品川港南,3.19,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1314/A131403/13213077/
